"authors","title","source","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Kochubey, SM; Pardalos, PM; Yatsenko, VA","method and the device for remote sensing of vegetation","REMOTE SENSING FOR AGRICULTURE, ECOSYSTEMS, AND HYDROLOGY IV","Proceedings Paper","in this paper we consider the problem of estimating chlorophyll content in vegetation using an experimental optical method from noisy spectral data. it is shown that the quantitative analysis of the spectral curves for the reflection of plant leaves may be the basis for development of new methods for interpretation of the data obtained by the remote measurement of plants. a mathematical model of vegetation reflectance is proposed to estimate the chlorophyll concentration from spectral data. estimates are defined as minimizers of penalized cost functionals with sequential quadratic programming (sqp) methods. an estimation tool is related to the local scoring procedure for a generalized additive model. experimental and simulation results are shown for different agricultural plants using a functional parametric fitting of spectral curves.",0,2003,4879,"","243","251",0,0,1,1
"Smith, CA; Wilson, WG","evolutionarily stable dispersal with pattern formation in a mutualist-antagonist system","EVOLUTIONARY ECOLOGY RESEARCH","Article","question: how does the evolution of dispersal distance affect the persistence, distribution, and population dynamics of a mutualist-antagonist system capable of endogenous pattern formation? modelling approach: we let dispersal distance evolve within an individual-based model involving an obligate plant-pollinating seed parasite pair and a parasitoid that preys upon pollinator larvae. the model incorporates demographic parameters for ovule production, pollinator oviposition, pollinator and parasitoid visitation rates, in addition to background mortality probabilities for each of the three species. a corresponding non-spatial mathematical model verifies our representation of the interspecific dynamics. key assumptions: individuals move over a homogeneous underlying environment with dispersal distances drawn from probability distribution kernels. each species is subject to density-dependent reproduction. pollinators and parasitoids make multiple visits per time step that are poisson distributed. conclusions: dependent on demographic parameter values, there is a spectrum of outcomes, including: (1) runaway selection for increased dispersal distance resulting in homogeneous distributions of all three species; (2) an evolutionarily stable state with pattern formation and metapopulation-like dynamics; and (3) rapid extinction of one or more species. interestingly, a weak relaxation of the obligacy between the plants and the pollinators erodes the evolutionarily stable state with pattern formation. we argue that this dependence upon and sensitivity to obligacy may explain the lack of empirical observations of endogenous pattern formation in nature.",0,2007,9,"6","987","1004",0,1,0,1
"Morzaria-Luna, HN; Zedler, JB","competitive interactions between two salt marsh halophytes across stress gradients","WETLANDS","Article","in tidal marshes, facilitative and competitive interactions between plant species can shift in response to variation in stress gradients (e.g., inundation and salinity) and resource gradients (e.g., nutrient availability). we measured plant competitive response using relative yield based on total biomass of salt marsh species salicornia virginica and triglochin concinna. we tested interactions between these species in two greenhouse experiments using an additive experimental design which included nitrogen supply, water level, and duration (4-months and 1-year) treatments. we repeated two n-supply treatments in a 1-year field experiment at two elevations. we found that competitive and facilitative processes were dependent on the type of stress, the species, and the experiment duration. we found a facilitation-competition shift along the n-availability gradient, but only for salicornia in the 4-month experiment. we found no effect of n addition on competitive response in the 1-year experiment; relative yield values remained < 1 for both triglochin and salicornia. our results have implications for understanding competitive interactions across multiple stress gradients and for community structure in restored sites; for example, planting triglochin in restored marshes could reduce aboveground biomass of salicornia and aid in the development of a species-rich canopy.",0,2014,34,"1","31","42",0,0,1,1
"Potgieter, LJ; Wilson, JRU; Strasberg, D; Richardson, DM","casuarina invasion alters primary succession on lava flows on la reunion island","BIOTROPICA","Article","invasive plants can alter community dynamics and the successional trajectories of ecosystems they colonize. we explore how interactions between disturbance and invasion govern successional trajectories in the case of casuarina equisetifolia invading lava flows on la reunion island. surveys from 1972 and 1990 were compared with results of a survey in 2012 to detail progression of the invasion over time. general additive models were used to estimate the influence of altitude, distance to putative source of introduction, and lava flow age on the abundance of c.equisetifolia. based on the predictions, we estimated the likely rate and eventual extent of spread of the species in the area through time. we placed our findings in the context of a conceptual model of successional processes in the area to highlight how the invasion of c.equisetifolia and natural and human-mediated disturbances are changing natural vegetation dynamics. the extent of invasion by c.equisetifolia has increased twentyfold over the past 40yr from 110ha in 1972 to 2373ha in 2012. lava flows have facilitated this spread, and in turn c.equisetifolia has started to radically change successional trajectories, increasing the rate of succession sevenfold. the continued spread of this species poses a major threat to the small area of remaining native lowland rain forests on la reunion island, which cover <2 percent of their original extent.",0,2014,46,"3","268","275",0,0,1,1
"Andrew, SM; Totland, O; Moe, SR","invasion of the cosmopolitan species echinochloa colona into herbaceous vegetation of a tropical wetland system","ECOLOGICAL RESEARCH","Article","the negative effects of alien plant species on ecosystem structure and functions are increasingly recognised, and efforts to control these species are vital to restore degraded ecosystems and preserve biodiversity. however, we lack a full understanding of factors that determine alien species invasions along spatial gradients in herbaceous vegetation of tropical systems. we therefore examined the effects of community properties, environmental variables and human-related disturbance factors on the invasion of the alien grass echinochloa colona (l.) link at small- and large scales in the kilombero valley wetland, tanzania. generalized additive mixed models showed that e. colona abundance on a small scale was negatively related to above-ground biomass and evenness of resident species, whereas e. colona abundance was positively related to grazing intensity. on a large scale, biomass (negatively related to e. colona abundance) and distance to river (positive) were important in explaining e. colona abundance. these findings support the assertion that different factors may contribute to the invasion of alien plant species at different spatial scales, as also reported in many temperate systems. overall, our results show that successful invasion of alien species is a function of plant community properties, human-related disturbance and favourable environmental conditions. effective management strategies should consider mitigations that can increase the biomass and evenness of native species and a reduction of grazing pressure to restore the wetland and conserve biodiversity.",0,2014,29,"5","969","979",0,0,1,1
"Rudgers, JA; Bell-Dereske, L; Crawford, KM; Emery, SM","fungal symbiont effects on dune plant diversity depend on precipitation","JOURNAL OF ECOLOGY","Article","1. historically, mutualisms have been considered to be less important than antagonisms in affecting the composition of ecological communities. in plant communities, beneficial microbes may feature as keystone mutualists in structuring community composition. understanding the direction and magnitude of mutualist effects at the community scale may be critical for making accurate predictions on plant responses to climate change, particularly for mutualists that ameliorate climate-induced stressors. such mitigation could shift outcomes between mutualist-enhanced species diversity and mutualist-reduced diversity, depending on whether a mutualist accelerates habitat modification or competitive exclusion by its partner species. 2. here, we tested the relative importance and interactive effects of altered precipitation and symbiosis between an epichloid fungal endophyte and a dominant grass species for dune plant communities along the great lakes, usa. in 2010, we imposed field manipulations of endophyte presence in the foundation dune grass ammophila breviligulata in combination with rainout shelters and rainfall additions. we monitored natural rates of colonization by new plant individuals over 3 years. 3. under the current precipitation regime, endophyte symbiosis in a. breviligulata reduced colonizing plant diversity, species richness and evenness. this effect depended on the amount of precipitation, with the symbiosis having weaker effects on plant diversity under both augmented and reduced rainfall treatments. 4. despite the overall negative effect of endophyte symbiosis on plant diversity, plant responses to the endophyte were species specific. a federally threatened forb, cirsium pitcheri, increased in abundance when the symbiosis was present, regardless of precipitation regime. endophyte symbiosis in a. breviligulata caused minor reductions in the abundance of other grass species; however, augmented precipitation benefited other grasses. 5. synthesis. we show that microbial mutualisms can have strong effects on community structure in a native ecosystem and that the amount of precipitation has the potential to alter how these keystone species interactions affect community composition. predictions on future plant community structure, for both restored and native dunes, can be improved by accounting for the presence of fungal symbionts in the foundation plant species.",0,2015,103,"1","219","230",0,1,0,1
"White, RSA; McHugh, PA; Glover, CN; McIntosh, AR","multiple environmental stressors increase the realised niche breadth of a forest-dwelling fish","ECOGRAPHY","Article","understanding the determinants of species' niche breadth is important due to the negative relationship between niche breadth and extinction probability. species tolerant to extremely harsh abiotic conditions (e.g. low ph or hypoxia) often have relatively small realised niches due to a trade-off between abiotic and biotic stress tolerance, and are therefore particularly vulnerable to extinction. we hypothesised that tolerance to multiple extreme conditions (e.g. low ph, hypoxia and drought) in brown mudfish neochanna apoda, would increase their realised niche breadth because each extreme would provide additive refuge against a dominant species, the banded kokopu galaxias fasciatus. fish distributions were surveyed in 65 peat-swamp-forest streams and pools in new zealand, which varied in dissolved oxygen, acidity and hydroperiod. mudfish distribution was extremely patchy, and almost completely allopatric with kokopu. allopatry was driven mainly by pool hydroperiod; mudfish occupied 88 percent of temporary pools due to their tolerance of habitat drying, whereas kokopu were absent from temporary pools. within permanent pools, mudfish occurrence was negatively related to pool oxygen and ph, whereas kokopu occurrence was positively related to these conditions. pool conditions were independently distributed in the landscape, suggesting that each abiotic stressor offered additive refuge for mudfish from kokopu predation/competition. consequently, the mudfish realised niche breadth depended on the number of abiotic factors driving their allopatry with kokopu. given the widespread negative relationships between niche breadth and species extinction probabilities, our results indicate that tolerance to multiple stressors may play an important role in insuring species persistence against the multiple drivers of global environmental change.",0,2015,38,"2","154","162",0,0,1,1
"Kristensen, TN; Overgaard, J; Lassen, J; Hoffmann, AA; Sgro, C","low evolutionary potential for egg-to-adult viability in drosophila melanogaster at high temperatures","EVOLUTION","Article","to cope with the increasing and less-predictable temperature forecasts under climate change, many terrestrial ectotherms will have to migrate or rely on adaptation through plastic or evolutionary means. studies suggest that some ectotherms have a limited potential to change their upper thermal limits via evolutionary shifts, but research has mostly focused on adult life stages under laboratory conditions. here we use replicate populations of drosophila melanogaster and a nested half-sib/full-sib quantitative genetic design to estimate heritabilities and genetic variance components for egg-to-adult viability under both laboratory and seminatural field conditions, encompassing cold, benign, and hot temperatures in two separate populations. the results demonstrated temperature-specific heritabilities and additive genetic variances for egg-to-adult viability. heritabilities and genetic variances were higher under cold and benign compared to hot temperatures when tested under controlled laboratory conditions. tendencies toward lower evolutionary potential at higher temperatures were also observed under seminatural conditions although the results were less clear in the field setting. overall the results suggest that ectotherms that already experience temperatures close to their upper thermal tolerance limits have a restricted capacity to adapt to higher temperatures by evolutionary means.",0,2015,69,"3","803","814",0,0,1,1
"Wandrag, EM; Sheppard, AW; Duncan, RP; Hulme, PE","pollinators and predators at home and away: do they determine invasion success for australian acacia in new zealand?","JOURNAL OF BIOGEOGRAPHY","Article","aiminteractions with pollinators and pre-dispersal seed predators are important determinants of reproductive output and could influence the success of plant species introduced to areas outside their native range. we identified the role of these interactions in determining reproductive output and invasion outcomes for species of australian acacia introduced to new zealand. locationaustralia and new zealand. methodswe studied three species of australian acacia with different invasion success in new zealand. in both australia and new zealand, we measured pollination success as the number of pods per inflorescence and the proportion of aborted seeds per pod, determined losses to pre-dispersal seed predators, and measured overall seed output. for each species, we compared performance in new zealand with that in australia, then examined whether there was any variation among species in their relative performance in each country. resultsthe number of pods per inflorescence and proportion of seeds aborted were similar in each country and among species. there was little difference in pre-dispersal seed predation rate between australia and new zealand for acacia dealbata, an invasive species, and acacia baileyana, a species widely naturalized in new zealand. however, pre-dispersal seed predation rate was lower in new zealand for acacia pravissima, currently considered to be a casual species there. both the invasive a. dealbata and the casual a. pravissima produced more seeds per tree in new zealand than australia. main conclusionsdifferences in reproductive success between the native and introduced range could not explain the differences in invasion success among the three acacia species. although per capita reproductive output was higher in new zealand for two species, neither mutualistic interactions with pollinators nor antagonistic interactions with pre-dispersal seed predators explained those differences. the high seed output of a. pravissima suggests it has the potential to become invasive. these findings highlight the value of broad comparative studies in elucidating the drivers of invasion.",0,2015,42,"4","619","629",0,1,0,1
"Estay, SA; Navarrete, SA; Toro, SR","effects of human mediated disturbances on exotic forest insect diversity in a chilean mediterranean ecosystem","BIODIVERSITY AND CONSERVATION","Article","at the current rate of exchange of goods and people among geographic areas, the introduction of insect species into new habitats represents an increasing threat to insect diversity. the situation is especially acute in mediterranean ecosystems where the high human population density incurs multiple sources of disturbance and high propagule pressure. in this study, we characterize the relationship between native and exotic forest insect richness and evaluate how human-mediated disturbances can influence this relationship in the mediterranean central chile. exotic and native species richness were positively correlated across the study area, suggesting similar effect of environmental variables on both assemblages over large scales. when the effect of human-mediated disturbances was evaluated using generalized linear and additive models, we found that native richness, human population density and habitat diversity were the most important variables affecting exotic richness. moreover, we detected strong nonlinearities in the effect of some variables. for instance, the influence of human population density on the exotic richness followed a threshold function, where below 1,000 hab/km(2), the proportion of exotics in the community grew rapidly with increasing human density, but above this threshold density, human population did not produce further increases in exotic richness. two important conclusions arise from these results: first, there is a positive effect of human-mediated disturbances on the exotic richness in central chile, and second, the key role that human population density has on the invasibility of insect communities in rural and semi-rural mediterranean areas.",0,2012,21,"14","3699","3710",0,0,1,1
