authors,title,source,type,keywords,abstract,times)cited,PY,VL,IS,BP,EP,DI
"Camarero, JJ; Gazol, A; Sanguesa-Barreda, G; Oliva, J; Vicente-Serrano, SM",To die or not to die: early warnings of tree dieback in response to a severe drought,JOURNAL OF ECOLOGY,Article,blue-stain fungi; critical transitions; drought stress; early warning signals; forest decline; generalized additive mixed models; mortality; plant-climate interactions; tree death,"1. Some disturbances can drive ecological systems to abrupt shifts between alternative stages (tipping points) when critical transitions occur. Drought-induced tree death can be considered as a nonlinear shift in tree vigour and growth. However, at what point do trees become predisposed to drought-related dieback and which factors determine this (tipping) point? We investigated these questions by characterizing the responses of three tree species, silver fir (Abies alba), Scots pine (Pinus sylvestris) and Aleppo pine (Pinus halepensis), to a severe drought event. 2. We compared basal area increment (BAI) trends and responses to climate and drought in declining (very defoliated and dying) vs. non-declining (slightly or not defoliated) trees by using generalized additive mixed models. Defoliation, BAI and sapwood production were related to functional proxies of tree vigour measured at the onset and end of the drought (non-structural carbohydrate concentrations, needle N content and C isotopic discrimination, presence of wood-inhabiting fungi). We evaluated whether early warning signals (increases in synchronicity among trees or in autocorrelation and standard deviation) could be extracted from the BAI series prior to tree death. 3. Declining silver fir and Scots pine trees showed less growth than non-declining trees one to three decades, respectively, before the drought event, whereas Aleppo pines showed growth decline irrespective of tree defoliation. At the end of the drought period, all species showed increased defoliation and a related reduction in the concentration of sapwood soluble sugars. Defoliation was constrained by the BAI of the previous 5 years and sapwood production. No specific wood-inhabiting fungi were found in post-drought declining trees apart from blue-stain fungi, which extensively affected damaged Scots pines. Declining silver firs showed increases in BAI autocorrelation and variability prior to tree death. 4. Synthesis. Early warning signals of drought-triggered mortality seem to be species specific and reflect how different tree species cope with drought stress. Highly correlated declining growth patterns during drought can serve as a signal in silver fir, whereas changes in the content of sapwood soluble sugars are suitable vigour proxies for Scots and Aleppo pines. Longer growth and defoliation series, additional vigour parameters and multi-species comparisons are required to understand and predict drought-induced tree death.",4,2015,103,1,44,57,10.1111/1365-2745.12295
"Hantson, S; Pueyo, S; Chuvieco, E",Global fire size distribution is driven by human impact and climate,GLOBAL ECOLOGY AND BIOGEOGRAPHY,Article,Fire size distribution; fire ecology; power law; self-organized criticality; SOC; wildland fire,"AimIn order to understand fire's impacts on vegetation dynamics, it is crucial that the distribution of fire sizes be known. We approached this distribution using a power-law distribution, which derives from self-organized criticality theory (SOC). We compute the global spatial variation in the power-law exponent and determine the main factors that explain its spatial distribution. LocationGlobal, at 2 degrees grid resolution. MethodsWe use satellite-derived MODIS burned-area data (MCD45) to obtain global individual fire size data for 2002-2010, grouped together for each 2 degrees grid. A global map of fire size distribution was produced by plotting the exponent of the power law. The drivers of the spatial trends in fire size distribution, including vegetation productivity, precipitation, population density and net income, were analysed using a generalized additive model (GAM). ResultsThe power law gave a good fit for 93% of the global 2 degrees grid cells with important fire activity. A global map of the fire size distribution, as approached by the power law shows strong spatial patterns. These are associated both with climatic variables (precipitation and evapotranspiration) and with anthropogenic variables (cropland cover and population density). Main conclusionsOur results indicate that the global fire size distribution changes over gradients of precipitation and aridity, and that it is strongly influenced by human activity. This information is essential for understanding potential changes in fire sizes as a result of climate change and socioeconomic dynamics. The ability to improve SOC fire models by including these human and climatic factors would benefit fire projections as well as fire management and policy.",5,2015,24,1,77,86,10.1111/geb.12246
"Paaby, AB; Bergland, AO; Behrman, EL; Schmidt, PS",A highly pleiotropic amino acid polymorphism in the Drosophila insulin receptor contributes to life-history adaptation,EVOLUTION,Article,Adaptation; cline; InR; pleiotropy; seasonality,"Finding the specific nucleotides that underlie adaptive variation is a major goal in evolutionary biology, but polygenic traits pose a challenge because the complex genotype-phenotype relationship can obscure the effects of individual alleles. However, natural selection working in large wild populations can shift allele frequencies and indicate functional regions of the genome. Previously, we showed that the two most common alleles of a complex amino acid insertion-deletion polymorphism in the Drosophila insulin receptor show independent, parallel clines in frequency across the North American and Australian continents. Here, we report that the cline is stable over at least a five-year period and that the polymorphism also demonstrates temporal shifts in allele frequency concurrent with seasonal change. We tested the alleles for effects on levels of insulin signaling, fecundity, development time, body size, stress tolerance, and life span. We find that the alleles are associated with predictable differences in these traits, consistent with patterns of Drosophila life-history variation across geography that likely reflect adaptation to the heterogeneous climatic environment. These results implicate insulin signaling as a major mediator of life-history adaptation in Drosophila, and suggest that life-history trade-offs can be explained by extensive pleiotropy at a single locus.",4,2014,68,12,3395,3409,10.1111/evo.12546
"Reside, AE; Welbergen, JA; Phillips, BL; Wardell-Johnson, GW; Keppel, G; Ferrier, S; Williams, SE; Vanderwal, J",Characteristics of climate change refugia for Australian biodiversity,AUSTRAL ECOLOGY,Review,climate change; conservation; refugia; synergies; terrestrial biodiversity,"Identifying refugia is a critical component of effective conservation of biodiversity under anthropogenic climate change. However, despite a surge in conceptual and practical interest, identifying refugia remains a significant challenge across diverse continental landscapes. We provide an overview of the key properties of refugia that promote species' persistence under climate change, including their capacity to (i) buffer species from climate change; (ii) sustain long-term population viability and evolutionary processes; (iii) minimize the potential for deleterious species interactions, provided that the refugia are (iv) available and accessible to species under threat. Further, we classify refugia in terms of the environmental and biotic stressors that they provide protection from (i.e. thermal, hydric, cyclonic, pyric and biotic refugia), but ideally refugia should provide protection from a multitude of stressors. Our systematic characterization of refugia facilitates the identification of refugia in the Australian landscape. Challenges remain, however, specifically with respect to how to assess the quality of refugia at the level of individual species and whole species assemblages. It is essential that these challenges are overcome before refugia can live up to their acclaim as useful targets for conservation and management in the context of climate change.",5,2014,39,8,887,897,10.1111/aec.12146
"Strain, EMA; Thomson, RJ; Micheli, F; Mancuso, FP; Airoldi, L",Identifying the interacting roles of stressors in driving the global loss of canopy-forming to mat-forming algae in marine ecosystems,GLOBAL CHANGE BIOLOGY,Review,anthropogenic stressors; canopy-forming algae; habitat shifts; management; mat-forming algae,"Identifying the type and strength of interactions between local anthropogenic and other stressors can help to set achievable management targets for degraded marine ecosystems and support their resilience by identifying local actions. We undertook a meta-analysis, using data from 118 studies to test the hypothesis that ongoing global declines in the dominant habitat along temperate rocky coastlines, forests of canopy-forming algae and/or their replacement by mat-forming algae are driven by the nonadditive interactions between local anthropogenic stressors that can be addressed through management actions (fishing, heavy metal pollution, nutrient enrichment and high sediment loads) and other stressors (presence of competitors or grazers, removal of canopy algae, limiting or excessive light, low or high salinity, increasing temperature, high wave exposure and high UV or CO2), not as easily amenable to management actions. In general, the cumulative effects of local anthropogenic and other stressors had negative effects on the growth and survival of canopy-forming algae. Conversely, the growth or survival of mat-forming algae was either unaffected or significantly enhanced by the same pairs of stressors. Contrary to our predictions, the majority of interactions between stressors were additive. There were however synergistic interactions between nutrient enrichment and heavy metals, the presence of competitors, low light and increasing temperature, leading to amplified negative effects on canopy-forming algae. There were also synergistic interactions between nutrient enrichment and increasing CO2 and temperature leading to amplified positive effects on mat-forming algae. Our review of the current literature shows that management of nutrient levels, rather than fishing, heavy metal pollution or high sediment loads, would provide the greatest opportunity for preventing the shift from canopy to mat-forming algae, particularly in enclosed bays or estuaries because of the higher prevalence of synergistic interactions between nutrient enrichment with other local and global stressors, and as such it should be prioritized.",8,2014,20,11,3300,3312,10.1111/gcb.12619
"Haddad, NM; Brudvig, LA; Damschen, EI; Evans, DM; Johnson, BL; Levey, DJ; Orrock, JL; Resasco, J; Sullivan, LL; Tewksbury, JJ; Wagner, SA; Weldon, AJ",Potential Negative Ecological Effects of Corridors,CONSERVATION BIOLOGY,Review,connectivity; dispersal; disturbance; diversity; edge effects; fragmentation; invasive species,"Despite many studies showing that landscape corridors increase dispersal and species richness for disparate taxa, concerns persist that corridors can have unintended negative effects. In particular, some of the same mechanisms that underlie positive effects of corridors on species of conservation interest may also increase the spread and impact of antagonistic species (e.g., predators and pathogens), foster negative effects of edges, increase invasion by exotic species, increase the spread of unwanted disturbances such as fire, or increase population synchrony and thus reduce persistence. We conducted a literature review and meta-analysis to evaluate the prevalence of each of these negative effects. We found no evidence that corridors increase unwanted disturbance or non-native species invasion; however, these have not been well-studied concerns (1 and 6 studies, respectively). Other effects of corridors were more often studied and yielded inconsistent results; mean effect sizes were indistinguishable from zero. The effect of edges on abundances of target species was as likely to be positive as negative. Corridors were as likely to have no effect on antagonists or population synchrony as they were to increase those negative effects. We found 3 deficiencies in the literature. First, despite studies on how corridors affect predators, there are few studies of related consequences for prey population size and persistence. Second, properly designed studies of negative corridor effects are needed in natural corridors at scales larger than those achievable in experimental systems. Third, studies are needed to test more targeted hypotheses about when corridor-mediated effects on invasive species or disturbance may be negative for species of management concern. Overall, we found no overarching support for concerns that construction and maintenance of habitat corridors may result in unintended negative consequences. Negative edge effects may be mitigated by widening corridors or softening edges between corridors and the matrix. Other negative effects are relatively small and manageable compared with the large positive effects of facilitating dispersal and increasing diversity of native species. Efectos Negativos Potenciales de los Corredores",4,2014,28,5,1178,1187,10.1111/cobi.12323
"Jenkins, BR; Vitousek, MN; Hubbard, JK; Safran, RJ",An experimental analysis of the heritability of variation in glucocorticoid concentrations in a wild avian population,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,animal model; barn swallow; cross-foster; environmental variation; glucocorticoids; heritability,"Glucocorticoid hormones (CORT) are predicted to promote adaptation to variable environments, yet little is known about the potential for CORT secretion patterns to respond to selection in free-living populations. We assessed the heritable variation underlying differences in hormonal phenotypes using a cross-foster experimental design with nestling North American barn swallows (Hirundo rustica erythrogaster). Using a bivariate animal model, we partitioned variance in baseline and stress-induced CORT concentrations into their additive genetic and rearing environment components and estimated their genetic correlation. Both baseline and stress-induced CORT were heritable with heritability of 0.152 and 0.343, respectively. We found that the variation in baseline CORT was best explained by rearing environment, whereas the variation in stress-induced CORT was contributed to by a combination of genetic and environmental factors. Further, we did not detect a genetic correlation between these two hormonal traits. Although rearing environment appears to play an important role in the secretion of both types of CORT, our results suggest that stress-induced CORT levels are underlain by greater additive genetic variance compared with baseline CORT levels. Accordingly, we infer that the glucocorticoid response to stress has a greater potential for evolutionary change in response to selection compared with baseline glucocorticoid secretion patterns.",4,2014,281,1790,,,10.1098/rspb.2014.1302
"Leal, IR; Wirth, R; Tabarelli, M",The Multiple Impacts of Leaf-Cutting Ants and Their Novel Ecological Role in Human-Modified Neotropical Forests,BIOTROPICA,Review,Atta; ecological filtering; ecosystem engineering; herbivory; human-modified landscapes; microclimatic changes; nutrient cycling; seed dispersal,"Herbivory has been identified as a potent evolutionary force, but its ecological impacts have been frequently underestimated. Leaf-cutting ants represent one of the most important herbivores of the Neotropics and offer an interesting opportunity to address the role played by herbivorous insects through a perspective that embraces population- to ecosystem-level effects. Here we: (1) qualitatively summarize the multiple ways leaf-cutting ants interact with food plants and their habitats and elucidate the ultimate outcome of such interactions at multiple organization levels; (2) update our understanding of leaf-cutting ant-promoted disturbance regimes; and (3) examine potential ecological roles by leaf-cutting ants within the context of human-modified landscapes to guide future research agendas. First, we find that leaf-cutting ants show that some herbivorous insects are able to generate ecologically important disturbance regimes via non-trophic activities. Second, impacts of leaf-cutting ants can be observed at multiple spatio-temporal scales and levels of biological organization. Third, ecosystem-level effects from leaf-cutting ants are ecosystem engineering capable not only of altering the abundance of other organisms, but also the successional trajectory of vegetation. Finally, effects of leaf-cutting ants are context-dependent, species-specific, and synergistically modulated by anthropogenic interferences. Future research should examine how leaf-cutting ants respond to deforestation and influence remaining vegetation in human-modified landscapes. By promoting either heterogeneity or homogeneity, leaf-cutting ants operate not only as agricultural pests but also as ecological key players.",5,2014,46,5,516,528,10.1111/btp.12126
"Oakley, CG; Agren, J; Atchison, RA; Schemske, DW",QTL mapping of freezing tolerance: links to fitness and adaptive trade-offs,MOLECULAR ECOLOGY,Article,abiotic stress; adaptation; antagonistic pleiotropy; cold acclimation; cost of resistance; C-repeat-binding factor,"Local adaptation, defined as higher fitness of local vs. nonlocal genotypes, is commonly identified in reciprocal transplant experiments. Reciprocally adapted populations display fitness trade-offs across environments, but little is known about the traits and genes underlying fitness trade-offs in reciprocally adapted populations. We investigated the genetic basis and adaptive significance of freezing tolerance using locally adapted populations of Arabidopsis thaliana from Italy and Sweden. Previous reciprocal transplant studies of these populations indicated that subfreezing temperature is a major selective agent in Sweden. We used quantitative trait locus (QTL) mapping to identify the contribution of freezing tolerance to previously demonstrated local adaptation and genetic trade-offs. First, we compared the genomic locations of freezing tolerance QTL to those for previously published QTL for survival in Sweden, and overall fitness in the field. Then, we estimated the contributions to survival and fitness across both field sites of genotypes at locally adaptive freezing tolerance QTL. In growth chamber studies, we found seven QTL for freezing tolerance, and the Swedish genotype increased freezing tolerance for five of these QTL. Three of these colocalized with locally adaptive survival QTL in Sweden and with trade-off QTL for overall fitness. Two freezing tolerance QTL contribute to genetic trade-offs across environments for both survival and overall fitness. A major regulator of freezing tolerance, CBF2, is implicated as a candidate gene for one of the trade-off freezing tolerance QTL. Our study provides some of the first evidence of a trait and gene that mediate a fitness trade-off in nature.",9,2014,23,17,4304,4315,10.1111/mec.12862
"Fox, R; Oliver, TH; Harrower, C; Parsons, MS; Thomas, CD; Roy, DB",Long-term changes to the frequency of occurrence of British moths are consistent with opposing and synergistic effects of climate and land-use changes,JOURNAL OF APPLIED ECOLOGY,Article,citizen science; climate change; frequency of occurrence; habitat loss; invertebrate declines; land-use change; Lepidoptera; moths,"1. Species' distributions are likely to be affected by a combination of environmental drivers. We used a data set of 11 million species occurrence records over the period 1970-2010 to assess changes in the frequency of occurrence of 673 macro-moth species in Great Britain. Groups of species with different predicted sensitivities showed divergent trends, which we interpret in the context of land-use and climatic changes. 2. A diversity of responses was revealed: 260 moth species declined significantly, whereas 160 increased significantly. Overall, frequencies of occurrence declined, mirroring trends in less species-rich, yet more intensively studied taxa. 3. Geographically widespread species, which were predicted to be more sensitive to land use than to climate change, declined significantly in southern Britain, where the cover of urban and arable land has increased. 4. Moths associated with low nitrogen and open environments (based on their larval host plant characteristics) declined most strongly, which is also consistent with a land-use change explanation. 5. Some moths that reach their northern (leading edge) range limit in southern Britain increased, whereas species restricted to northern Britain (trailing edge) declined significantly, consistent with a climate change explanation. 6. Not all species of a given type behaved similarly, suggesting that complex interactions between species' attributes and different combinations of environmental drivers determine frequency of occurrence changes. 7. Synthesis and applications. Our findings are consistent with large-scale responses to climatic and land-use changes, with some species increasing and others decreasing. We suggest that landuse change (e. g. habitat loss, nitrogen deposition) and climate change are both major drivers of moth biodiversity change, acting independently and in combination. Importantly, the diverse responses revealed in this species-rich taxon show that multifaceted conservation strategies are needed to minimize negative biodiversity impacts of multiple environmental changes. We suggest that habitat protection, management and ecological restoration can mitigate combined impacts of land-use change and climate change by providing environments that are suitable for existing populations and also enable species to shift their ranges.",15,2014,51,4,949,957,10.1111/1365-2664.12256
