authors,title,source,type,abstract,times_cited,PY,VL,IS,BP,EP
"Folke, C; Carpenter, S; Walker, B; Scheffer, M; Elmqvist, T; Gunderson, L; Holling, CS","Regime shifts, resilience, and biodiversity in ecosystem management",ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,Review,"We review the evidence of regime shifts in terrestrial and aquatic environments in relation to resilience of complex adaptive ecosystems and the functional roles of biological diversity in this context. The evidence reveals that the likelihood of regime shifts may increase when humans reduce resilience by such actions as removing response diversity, removing whole functional groups of species, or removing whole trophic levels; impacting on ecosystems via emissions of waste and pollutants and climate change; and altering the magnitude, frequency, and duration of disturbance regimes. The combined and often synergistic effects of those pressures can make ecosystems more vulnerable to changes that previously could be absorbed. As a consequence, ecosystems may suddenly shift from desired to less desired states in their capacity to generate ecosystem services. Active adaptive management and governance of resilience will be required to sustain desired ecosystem states and transform degraded ecosystems into fundamentally new and more desirable configurations.",925,2004,35,,557,581
"Vitousek, PM; DAntonio, CM; Loope, LL; Rejmanek, M; Westbrooks, R",Introduced species: A significant component of human-caused global change,NEW ZEALAND JOURNAL OF ECOLOGY,Review,"Biological invasions are a widespread and significant component of human-caused global environmental change. The extent of invasions of oceanic islands, and their consequences for native biological diversity, have long been recognized. However, invasions of continental regions also are substantial. For example, more than 2,000 species of alien plants are established in the continental United States. These invasions represent a human-caused breakdown of the regional distinctiveness of Earth's flora and fauna - a substantial global change in and of itself. Moreover, there are well-documented examples of invading species that degrade human health and wealth, alter the structure and functioning of otherwise undisturbed ecosystems, and/or threaten native biological diversity. Invasions also interact synergistically with other components of global change. notably land use change. People and institutions working to understand, prevent, and control invasions are carrying out some of the most important - and potentially most effective - work on global environmental change.",870,1997,21,1,1,16
"Tylianakis, JM; Didham, RK; Bascompte, J; Wardle, DA",Global change and species interactions in terrestrial ecosystems,ECOLOGY LETTERS,Review,"The main drivers of global environmental change (CO(2) enrichment, nitrogen deposition, climate, biotic invasions and land use) cause extinctions and alter species distributions, and recent evidence shows that they exert pervasive impacts on various antagonistic and mutualistic interactions among species. In this review, we synthesize data from 688 published studies to show that these drivers often alter competitive interactions among plants and animals, exert multitrophic effects on the decomposer food web, increase intensity of pathogen infection, weaken mutualisms involving plants, and enhance herbivory while having variable effects on predation. A recurrent finding is that there is substantial variability among studies in both the magnitude and direction of effects of any given GEC driver on any given type of biotic interaction. Further, we show that higher order effects among multiple drivers acting simultaneously create challenges in predicting future responses to global environmental change, and that extrapolating these complex impacts across entire networks of species interactions yields unanticipated effects on ecosystems. Finally, we conclude that in order to reliably predict the effects of GEC on community and ecosystem processes, the greatest single challenge will be to determine how biotic and abiotic context alters the direction and magnitude of GEC effects on biotic interactions.",545,2008,11,12,1351,1363
"Brook, BW; Sodhi, NS; Bradshaw, CJA",Synergies among extinction drivers under global change,TRENDS IN ECOLOGY & EVOLUTION,Review,"If habitat destruction or overexploitation of populations is severe, species loss can occur directly and abruptly. Yet the final descent to extinction is often driven by synergistic processes (amplifying feedbacks) that can be disconnected from the original cause of decline. We review recent observational, experimental and metaanalytic work which together show that owing to interacting and self-reinforcing processes, estimates of extinction risk for most species are more severe than previously recognised. As such, conservation actions which only target single-threat drivers risk being inadequate because of the cascading effects caused by unmanaged synergies. Future work should focus on how climate change will interact with and accelerate ongoing threats to biodiversity, such as habitat degradation, overexploitation and invasive species.",425,2008,23,8,453,460
"Saikkonen, K; Faeth, SH; Helander, M; Sullivan, TJ",Fungal endophytes: A continuum of interactions with host plants,ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,Review,"Endophytic fungi living asymptomatically within plant tissues have been found in virtually all plant species. Endophytes are considered plant mutualists: They receive nutrition and protection from the host plant while the host plant may benefit from enhanced competitive abilities and increased resistance to herbivores, pathogens, and various abiotic stresses. Limited evidence also indicates that endophytes may influence population dynamics, plant community diversity, and ecosystem function. However, most of the empirical evidence for this mutualism and its ecological consequences has been based on a few agronomic grass endophytes. More recent studies suggest that endophyte-host plant interactions are variable and range from antagonistic to mutualistic. A more comprehensive view of the ecology and evolution of endophytes and host plants is needed. This article discusses how life history traits-such as fungal reproduction and pattern of infections and genotypic variation and ecological factors-influence the direction and strength of the endophyte-host plant interaction.",413,1998,29,,319,343
"Chesson, P; Huntly, N",The roles of harsh and fluctuating conditions in the dynamics of ecological communities,AMERICAN NATURALIST,Article,"Harsh conditions (e.g., mortality and stress) reduce population growth rates directly; secondarily, they may reduce the intensity of interactions between organisms. Near-exclusive focus on the secondary effect of these forms of harshness has led ecologists to believe that they reduce the importance of ecological interactions, such as competition, and favor coexistence of even ecologically very similar species. By examining both the costs and the benefits, we show that harshness alone does not lessen the importance of species interactions or limit their role in community structure. Species coexistence requires niche differences, and harshness does not in itself make coexistence more likely. Fluctuations in environmental conditions (e.g., disturbance, seasonal change, and weather variation) also have been regarded as decreasing species interactions and favoring coexistence, but we argue that coexistence can only be favored when fluctuations create spatial or temporal niche opportunities. We argue that important diversity-promoting roles for harsh and fluctuating conditions depend on deviations from the assumptions of additive effects and linear dependencies most commonly found in ecological models. Such considerations imply strong roles for species interactions in the diversity of a community.",389,1997,150,5,519,553
"Paine, RT; Tegner, MJ; Johnson, EA",Compounded perturbations yield ecological surprises,ECOSYSTEMS,Article,"All species have evolved in the presence of disturbance, and thus are in a sense matched to the recurrence pattern of the perturbations. Consequently, disturbances within the typical range, even at the extreme of that range as defined by large, infrequent disturbances (LIDs), usually result in little long-term change to the system's fundamental character. We argue that more serious ecological consequences result from compounded perturbations within the normative recovery time of the community in question. We consider both physically based disturbance (for example, storm, volcanic eruption, and forest fire) and biologically based disturbance of populations, such as overharvesting, invasion, and disease, and their interactions. Dispersal capability and measures of generation time or age to first reproduction of the species of interest seem to be the important metrics for scaling the size and frequency of disturbances among different types of ecosystems. We develop six scenarios that describe communities that have been subjected to multiple perturbations, either simultaneously or at a rate faster than the rate of recovery, and appear to have entered new domains or ""ecological surprises."" In some cases, three or more disturbances seem to have been required to initiate the changed state. We argue that in a world of ever-more-pervasive anthropogenic impacts on natural communities coupled with the increasing certainty of global change, compounded perturbations and ecological surprises will become more common. Understanding these ecological synergisms will be basic to environmental management decisions of the 21st century.",377,1998,1,6,535,545
"Nystrom, M; Folke, C; Moberg, F",Coral reef disturbance and resilience in a human-dominated environment,TRENDS IN ECOLOGY & EVOLUTION,Review,"Facing a human-dominated world, ecologists are now reconsidering the role of disturbance for coral reef ecosystem dynamics. Human activities alter the natural disturbance regimes of coral reefs by transforming pulse events into persistent disturbance or even chronic stress, by introducing new disturbance, or by suppressing or removing disturbance. Adding these alterations to natural disturbance regimes will probably result in unknown synergistic effects. Simultaneously. humans are altering the capacity of reefs to cope with disturbance (e.g. by habitat fragmentation and reduction of functional diversity), which further exacerbates the effects of altered disturbance regimes. A disturbance that previously triggered the renewal and development of reefs might, under such circumstances, become an obstacle to development. The implications of these changes for reef-associated human activities, such as fishing and tourism, can be substantial.",298,2000,15,10,413,417
"Crain, CM; Kroeker, K; Halpern, BS",Interactive and cumulative effects of multiple human stressors in marine systems,ECOLOGY LETTERS,Letter,"Humans impact natural systems in a multitude of ways, yet the cumulative effect of multiple stressors on ecological communities remains largely unknown. Here we synthesized 171 studies that manipulated two or more stressors in marine and coastal systems and found that cumulative effects in individual studies were additive (26%), synergistic (36%), and antagonistic (38%). The overall interaction effect across all studies was synergistic, but interaction type varied by response level (community: antagonistic, population: synergistic), trophic level (autotrophs: antagonistic, heterotrophs: synergistic), and specific stressor pair (seven pairs additive, three pairs each synergistic and antagonistic). Addition of a third stressor changed interaction effects significantly in two-thirds of all cases and doubled the number of synergistic interactions. Given that most studies were performed in laboratories where stressor effects can be carefully isolated, these three-stressor results suggest that synergies may be quite common in nature where more than two stressors almost always coexist. While significant gaps exist in multiple stressor research, our results suggest an immediate need to account for stressor interactions in ecological studies and conservation planning.",290,2008,11,12,1304,1315
"Opdam, P; Wascher, D",Climate change meets habitat fragmentation: linking landscape and biogeographical scale levels in research and conservation,BIOLOGICAL CONSERVATION,Article,"Climate change and habitat fragmentation are considered key pressures on biodiversity. In this paper we explore the potential synergetic effects between these factors. We argue that processes at two levels of spatial scale interact: the metapopulation level and the species range level. Current concepts of spatially dynamic metapopulations and species ranges are consistent, and integration improves Our understanding of the interaction of landscape level and geographical range level processes. In landscape zones in which the degree of habitat fragmentation allows persistence, the shifting of ranges is inhibited, but not blocked. In areas where the spatial cohesion of the habitat is below the critical level of metapopulation persistence, the expansion of ranges will be blocked. An increased frequency of large-scale disturbances caused by extreme weather events will cause increasing gaps and an overall contraction of the distribution range, particularly in areas with relatively low levels of spatial cohesion. Taking into account the effects of climate change on metapopulations, habitat distribution and land use changes, future biodiversity research and conservation strategies are facing the challenge to re-orient their focus and scope by integrating spatially and conceptually more dynamic aspects at the landscape level. (C) 2003 Elsevier Ltd. All rights reserved.",285,2004,117,3,285,297
