source,authors,year,title,journal,vol,pages,antag,additive,synerg,review,times.cited
Scopus,"Lichtenstein, E.P., Liang, T.T., Anderegg, B.N.",1973,Synergism of Insecticides by Herbicides,Science,181,847-849,0,0,1,0,NA
Scopus,"Liang, Lichtenstein",1974,Synergism of Insecticides by Herbicides: Effect of Environmental Factors,Science,186,1128-1130,0,0,1,0,NA
WOS,M. Kellman,1984,Synergistic Relationships between Fire and Low Soil Fertility in Neotropical Savannas - a Hypothesis,Biotropica,16,158-160,0,0,1,0,NA
WOS,J. D. Orcutt,1984,The Synergistic Effects of Temperature and Food Concentration on Life-History Parameters of Daphnia,Oecologia,63,300-306,0,0,1,0,NA
WOS,C. Uhl,1985,A Disturbing Synergism between Cattle Ranch Burning Practices and Selective Tree Harvesting in the Eastern Amazon,Biotropica,17,265-268,0,0,1,0,NA
Scopus,"Bowonder, B., Ramana, K.V., Rao, T.H.",1985,Sedimentation of reservoirs in India,Land Use Policy,2,148-154,0,0,1,1,NA
WOS,B. R. Larsen,1986,"Synergistic Effects of Acid-Rain and (+/-)-2-(2,4-Dichlorophenoxy)-Propanoic Acid (2,4-Dp) on Growth, Mineral-Content and Stress-Induced Ethylene in Lettuce",Environmental Pollution,41,179-196,0,0,1,0,NA
WOS,B. Frochot,1987,Synergism in Bird Communities - a Method to Measure Edge Effect,Acta Oecologica,8,253-258,0,0,1,0,NA
WOS,D. A. Soluk,1988,Synergistic Interactions between Fish and Stoneflies - Facilitation and Interference among Stream Predators,Oikos,52,94-100,0,0,1,0,NA
Scopus,"Soluk D.A., Collins N.C.",1988,Synergistic interactions between fish and stoneflies: facilitation and interference among stream predators,Oikos,52,94-100,0,0,1,0,NA
WOS,T. Jarvi,1989,"Synergistic Effect on Mortality in Atlantic Salmon, Salmo-Salar, Smolt Caused by Osmotic-Stress and Presence of Predators",Environmental Biology of Fishes,26,149-152,0,0,1,0,NA
WOS,J. J. S. Jose,1991,Spatial Patterns of Trees and Structuring Factors in a Trachypogon Savanna of the Orinoco Llanos,Biotropica,23,114-123,0,0,1,0,NA
WOS,S. S. Mulkey,1992,"Interactions between Acclimation and Photoinhibition of Photosynthesis of a Tropical Forest Understorey Herb, Alocasia-Macrorrhiza, During Simulated Canopy Gap Formation",Functional Ecology,6,719-729,0,0,1,0,NA
