"authors","title","journal","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Folke, C; Carpenter, S; Walker, B; Scheffer, M; Elmqvist, T; Gunderson, L; Holling, CS","regime shifts, resilience, and biodiversity in ecosystem management","annual review of ecology evolution and systematics","Review","we review the evidence of regime shifts in terrestrial and aquatic environments in relation to resilience of complex adaptive ecosystems and the functional roles of biological diversity in this context. the evidence reveals that the likelihood of regime shifts may increase when humans reduce resilience by such actions as removing response diversity, removing whole functional groups of species, or removing whole trophic levels; impacting on ecosystems via emissions of waste and pollutants and climate change; and altering the magnitude, frequency, and duration of disturbance regimes. the combined and often synergistic effects of those pressures can make ecosystems more vulnerable to changes that previously could be absorbed. as a consequence, ecosystems may suddenly shift from desired to less desired states in their capacity to generate ecosystem services. active adaptive management and governance of resilience will be required to sustain desired ecosystem states and transform degraded ecosystems into fundamentally new and more desirable configurations.",925,2004,35,"","557","581",1,0,0,1
"Vitousek, PM; DAntonio, CM; Loope, LL; Rejmanek, M; Westbrooks, R","introduced species: a significant component of human-caused global change","new zealand journal of ecology","Review","biological invasions are a widespread and significant component of human-caused global environmental change. the extent of invasions of oceanic islands, and their consequences for native biological diversity, have long been recognized. however, invasions of continental regions also are substantial. for example, more than 2,000 species of alien plants are established in the continental united states. these invasions represent a human-caused breakdown of the regional distinctiveness of earth's flora and fauna - a substantial global change in and of itself. moreover, there are well-documented examples of invading species that degrade human health and wealth, alter the structure and functioning of otherwise undisturbed ecosystems, and/or threaten native biological diversity. invasions also interact synergistically with other components of global change. notably land use change. people and institutions working to understand, prevent, and control invasions are carrying out some of the most important - and potentially most effective - work on global environmental change.",870,1997,21,"1","1","16",1,0,0,1
"Brook, BW; Sodhi, NS; Bradshaw, CJA","synergies among extinction drivers under global change","trends in ecology & evolution","Review","if habitat destruction or overexploitation of populations is severe, species loss can occur directly and abruptly. yet the final descent to extinction is often driven by synergistic processes (amplifying feedbacks) that can be disconnected from the original cause of decline. we review recent observational, experimental and metaanalytic work which together show that owing to interacting and self-reinforcing processes, estimates of extinction risk for most species are more severe than previously recognised. as such, conservation actions which only target single-threat drivers risk being inadequate because of the cascading effects caused by unmanaged synergies. future work should focus on how climate change will interact with and accelerate ongoing threats to biodiversity, such as habitat degradation, overexploitation and invasive species.",425,2008,23,"8","453","460",1,0,0,1
"Chesson, P; Huntly, N","the roles of harsh and fluctuating conditions in the dynamics of ecological communities","american naturalist","Article","harsh conditions (e.g., mortality and stress) reduce population growth rates directly; secondarily, they may reduce the intensity of interactions between organisms. near-exclusive focus on the secondary effect of these forms of harshness has led ecologists to believe that they reduce the importance of ecological interactions, such as competition, and favor coexistence of even ecologically very similar species. by examining both the costs and the benefits, we show that harshness alone does not lessen the importance of species interactions or limit their role in community structure. species coexistence requires niche differences, and harshness does not in itself make coexistence more likely. fluctuations in environmental conditions (e.g., disturbance, seasonal change, and weather variation) also have been regarded as decreasing species interactions and favoring coexistence, but we argue that coexistence can only be favored when fluctuations create spatial or temporal niche opportunities. we argue that important diversity-promoting roles for harsh and fluctuating conditions depend on deviations from the assumptions of additive effects and linear dependencies most commonly found in ecological models. such considerations imply strong roles for species interactions in the diversity of a community.",389,1997,150,"5","519","553",0,0,1,1
"Paine, RT; Tegner, MJ; Johnson, EA","compounded perturbations yield ecological surprises","ecosystems","Article","all species have evolved in the presence of disturbance, and thus are in a sense matched to the recurrence pattern of the perturbations. consequently, disturbances within the typical range, even at the extreme of that range as defined by large, infrequent disturbances (lids), usually result in little long-term change to the system's fundamental character. we argue that more serious ecological consequences result from compounded perturbations within the normative recovery time of the community in question. we consider both physically based disturbance (for example, storm, volcanic eruption, and forest fire) and biologically based disturbance of populations, such as overharvesting, invasion, and disease, and their interactions. dispersal capability and measures of generation time or age to first reproduction of the species of interest seem to be the important metrics for scaling the size and frequency of disturbances among different types of ecosystems. we develop six scenarios that describe communities that have been subjected to multiple perturbations, either simultaneously or at a rate faster than the rate of recovery, and appear to have entered new domains or ""ecological surprises."" in some cases, three or more disturbances seem to have been required to initiate the changed state. we argue that in a world of ever-more-pervasive anthropogenic impacts on natural communities coupled with the increasing certainty of global change, compounded perturbations and ecological surprises will become more common. understanding these ecological synergisms will be basic to environmental management decisions of the 21st century.",377,1998,1,"6","535","545",1,0,0,1
"Nystrom, M; Folke, C; Moberg, F","coral reef disturbance and resilience in a human-dominated environment","trends in ecology & evolution","Review","facing a human-dominated world, ecologists are now reconsidering the role of disturbance for coral reef ecosystem dynamics. human activities alter the natural disturbance regimes of coral reefs by transforming pulse events into persistent disturbance or even chronic stress, by introducing new disturbance, or by suppressing or removing disturbance. adding these alterations to natural disturbance regimes will probably result in unknown synergistic effects. simultaneously. humans are altering the capacity of reefs to cope with disturbance (e.g. by habitat fragmentation and reduction of functional diversity), which further exacerbates the effects of altered disturbance regimes. a disturbance that previously triggered the renewal and development of reefs might, under such circumstances, become an obstacle to development. the implications of these changes for reef-associated human activities, such as fishing and tourism, can be substantial.",298,2000,15,"10","413","417",1,0,0,1
"Crain, CM; Kroeker, K; Halpern, BS","interactive and cumulative effects of multiple human stressors in marine systems","ecology letters","Letter","humans impact natural systems in a multitude of ways, yet the cumulative effect of multiple stressors on ecological communities remains largely unknown. here we synthesized 171 studies that manipulated two or more stressors in marine and coastal systems and found that cumulative effects in individual studies were additive (26%), synergistic (36%), and antagonistic (38%). the overall interaction effect across all studies was synergistic, but interaction type varied by response level (community: antagonistic, population: synergistic), trophic level (autotrophs: antagonistic, heterotrophs: synergistic), and specific stressor pair (seven pairs additive, three pairs each synergistic and antagonistic). addition of a third stressor changed interaction effects significantly in two-thirds of all cases and doubled the number of synergistic interactions. given that most studies were performed in laboratories where stressor effects can be carefully isolated, these three-stressor results suggest that synergies may be quite common in nature where more than two stressors almost always coexist. while significant gaps exist in multiple stressor research, our results suggest an immediate need to account for stressor interactions in ecological studies and conservation planning.",290,2008,11,"12","1304","1315",1,1,1,3
"Opdam, P; Wascher, D","climate change meets habitat fragmentation: linking landscape and biogeographical scale levels in research and conservation","biological conservation","Article","climate change and habitat fragmentation are considered key pressures on biodiversity. in this paper we explore the potential synergetic effects between these factors. we argue that processes at two levels of spatial scale interact: the metapopulation level and the species range level. current concepts of spatially dynamic metapopulations and species ranges are consistent, and integration improves our understanding of the interaction of landscape level and geographical range level processes. in landscape zones in which the degree of habitat fragmentation allows persistence, the shifting of ranges is inhibited, but not blocked. in areas where the spatial cohesion of the habitat is below the critical level of metapopulation persistence, the expansion of ranges will be blocked. an increased frequency of large-scale disturbances caused by extreme weather events will cause increasing gaps and an overall contraction of the distribution range, particularly in areas with relatively low levels of spatial cohesion. taking into account the effects of climate change on metapopulations, habitat distribution and land use changes, future biodiversity research and conservation strategies are facing the challenge to re-orient their focus and scope by integrating spatially and conceptually more dynamic aspects at the landscape level. (c) 2003 elsevier ltd. all rights reserved.",285,2004,117,"3","285","297",1,0,0,1
"Portner, HO","ecosystem effects of ocean acidification in times of ocean warming: a physiologist's view","marine ecology progress series","Article","ocean warming and acidification occur at global scales and, in the case of temperature, have already caused shifts in marine ecosystem composition and function. in the case of co2-induced ocean hypercapnia and acidification, however, effects may still be so small that evidence for changes in the field is largely lacking, future scenarios indicate that marine life forms are threatened by the specific or synergistic effects of factors involved in these processes. the present paper builds on the view that development of a cause and effect understanding is required beyond empirical observations, for a more accurate projection of ecosystem effects and for quantitative scenarios. identification of the mechanisms through which temperature- and co2-related ocean physicochemistry affect organism fitness, survival and success, is crucial with this research strategy. i suggest operation of unifying physiological principles, not only of temperature but also co2 effects, across animal groups and phyla. thermal windows of optimized performance emerge as a basic character defining species fitness and survival, including their capacity to interact with other species. through effects on performance at the level of reproduction, behaviour and growth, ocean acidification acts especially on lower marine invertebrates, which are characterized by a low capacity to compensate for disturbances in extracellular ion and acid-base status and sensitivity of metabolism to such disturbances. available data suggest that one key consequence of these features is a narrowing of thermal tolerance windows, as well as a reduced scope for performance at ecosystem level. these changes in bioenvelopes may have major implications for the ranges of geographical distribution of these organisms and in species interactions.",247,2008,373,"","203","217",1,0,0,1
"POUNDS, JA; CRUMP, ML","amphibian declines and climate disturbance - the case of the golden toad and the harlequin frog","conservation biology","Article","the endemic golden toad (bufo periglenes) was abundant in costa rica's monteverde cloud forest preserve in april-may 1987 but afterwards disappeared, along with local populations of the harlequin frog (atelopus varius). we examine the possible relationship between these sudden declines and unusually warm, dry conditions in 1987 for our analyses of local weather patterns, we define a 12-month (july-june) amphibian moisture-temperature cycle consisting of four periods: (1) late wet season; (2) transition into dry season; (3) dry season; and (4) post-dry-season (early-wet-season) recovery. the 1986-1987 cycle was the only one on record (of 20 analyzed) with abnormally low rainfall in all four periods, and temperature anomalies in 1987 reached record highs. flow in local aquifer-fed streams during the dry season and post-dry-season recovery period reached a record low. this climate disturbance, associated with the 1986-1987 el nino/southern oscillation, was more severe than a similar event associated with the 1982-1983 el nino, though this earlier oscillation was the strongest of the past century. demographic data for one harlequin frog population, gathered during these two climatic events, support the hypothesis that in 1987, shortly before the population collapsed, the frogs underwent an unprecedented shift in distribution within the habitat in response to desiccating conditions. the juxtaposition of these rare demographic events suggests they were causally linked yet sheds little light on mechanisms underlying the sudden decline. while desiccation or direct temperature effects may have been factors leading to high adult mortality, moisture-temperature conditions may have interacted with some other, unidentified agent. we discuss two hypotheses concerning possible synergistic effects. in the climate-linked epidemic hypothesis, microparasites are the additional agent in the climate-linked contaminant pulse hypothesis, atmospheric contaminants scavenged by mist and cloud water in montane areas reach critical concentrations when conditions are abnormally warm and dry.",235,1994,8,"1","72","85",1,0,0,1
