"","x"
"1","acid deposition and ecosystem sensitivity in east asia"
"2","acta oecologica-international journal of ecology"
"3","advances in ecological research, vol 48: global change in multispecies systems, pt 3"
"4","african journal of ecology"
"5","agriculture ecosystems & environment"
"6","american naturalist"
"7","animal biodiversity and emerging diseases: prediction and prevention"
"8","animal conservation"
"9","annales zoologici fennici"
"10","annual review of ecology evolution and systematics"
"11","annual review of ecology, evolution, and systematics, vol 41"
"12","annual review of ecology, evolution, and systematics, vol 44"
"13","annual review of ecology, evolution, and systematics, vol 45"
"14","applied vegetation science"
"15","aquatic ecology"
"16","aquatic microbial ecology"
"17","arthropod-plant interactions"
"18","austral ecology"
"19","australian journal of ecology"
"20","behavioral ecology"
"21","behavioral ecology and sociobiology"
"22","biochemical systematics and ecology"
"23","biodiversity and conservation"
"24","biogeosciences"
"25","biological conservation"
"26","biological invasions"
"27","biology letters"
"28","biotropica"
"29","bmc ecology"
"30","chemistry and ecology"
"31","chemoecology"
"32","conservation biology"
"33","conservation ecology"
"34","diversity and distributions"
"35","ecography"
"36","ecohydrology"
"37","ecological applications"
"38","ecological economics"
"39","ecological modelling"
"40","ecological monographs"
"41","ecological research"
"42","ecology"
"43","ecology and evolution"
"44","ecology and management of wood in world rivers"
"45","ecology and society"
"46","ecology letters"
"47","ecoscience"
"48","ecosphere"
"49","ecosystem health"
"50","ecosystems"
"51","ecotoxicology"
"52","ekologia-bratislava"
"53","environmental biology of fishes"
"54","environmental pollution series a-ecological and biological"
"55","equidosimetry - ecological standardization and equidosimetry for radioecology and environmental ecology"
"56","european journal of soil biology"
"57","evolution"
"58","evolutionary ecology"
"59","fire ecology"
"60","flora"
"61","freshwater science"
"62","frontiers in ecology and the environment"
"63","functional ecology"
"64","global change biology"
"65","global ecology and biogeography"
"66","heredity"
"67","isme journal"
"68","journal for nature conservation"
"69","journal of animal ecology"
"70","journal of applied ecology"
"71","journal of arid environments"
"72","journal of biogeography"
"73","journal of chemical ecology"
"74","journal of ecology"
"75","journal of evolutionary biology"
"76","journal of experimental marine biology and ecology"
"77","journal of plant ecology"
"78","journal of plant interactions"
"79","journal of the north american benthological society"
"80","journal of vegetation science"
"81","journal of wildlife management"
"82","landscape and urban planning"
"83","landscape ecology"
"84","life sciences: artificial ecosystems"
"85","marine biology research"
"86","marine ecology progress series"
"87","methods in ecology and evolution"
"88","microbial ecology"
"89","molecular ecology"
"90","multiple stressor effects in relation to declining amphibian populations"
"91","multiple stressors: a challenge for the future"
"92","new concepts for sustainable management of river basins"
"93","new zealand journal of ecology"
"94","northeastern naturalist"
"95","oecologia"
"96","oikos"
"97","oryx"
"98","paleobiology"
"99","pedobiologia"
"100","perspectives in plant ecology evolution and systematics"
"101","plant ecology"
"102","polar biology"
"103","polar research"
"104","population ecology"
"105","proceedings of the conference on coastal watersheds: the caspar creek story"
"106","proceedings of the royal society b-biological sciences"
"107","rangeland ecology & management"
"108","rangeland journal"
"109","researches on population ecology"
"110","restoration ecology"
"111","revue d ecologie-la terre et la vie"
"112","russian journal of ecology"
"113","shrubland ecosystem genetics and biodiversity: proceedings"
"114","theoretical ecology"
"115","theoretical population biology"
"116","trends in ecology & evolution"
"117","wetlands"
"118","wilderness science in a time of change conference, vol 5: wilderness ecosystems, threats, and management"
"119","wildlife monographs"
"120","wildlife research"
