id,antagonism,additive,synergy,not_tested,glm_interactions,null model,other
1,0,0,1,0,0,1,0
2,0,0,1,0,1,1,0
3,0,0,1,1,0,0,0
4,0,0,1,0,1,0,0
5,0,0,1,1,0,0,0
7,0,0,1,1,0,0,0
8,0,0,1,1,0,0,0
9,0,0,1,0,0,1,1
10,0,0,1,0,0,1,0
11,0,0,1,1,0,0,0
12,0,0,1,1,0,0,0
13,0,0,1,1,0,0,0
14,0,1,0,0,1,0,0
15,0,0,1,1,0,0,0
16,0,0,1,1,0,0,0
17,0,0,1,1,0,0,0
18,1,0,0,1,0,0,0
19,0,0,1,1,0,0,0
20,0,0,1,0,0,1,0
21,0,0,1,1,0,0,0
22,0,0,1,0,1,0,0
23,0,0,1,0,1,0,0
24,0,0,0,0,0,1,0
25,0,0,1,0,0,1,0
26,0,0,1,0,1,1,0
28,0,0,1,1,0,0,0
30,0,0,1,1,0,0,0
31,0,0,1,1,0,0,0
33,0,0,1,1,0,0,0
35,0,1,1,0,1,0,0
36,0,0,1,0,1,0,0
37,0,0,1,0,1,1,0
39,0,0,1,1,0,0,0
40,0,0,1,1,0,0,0
42,1,0,0,1,0,0,0
43,0,0,1,1,0,0,0
45,0,1,0,0,0,1,0
46,0,0,1,0,0,1,1
48,0,0,0,0,1,0,0
49,0,0,1,1,0,0,0
50,0,0,1,0,1,0,0
51,0,0,1,0,0,1,0
52,0,0,1,1,0,0,0
53,0,0,1,0,0,1,0
55,0,0,0,0,1,0,0
56,0,0,1,0,1,1,0
57,1,0,0,1,0,0,0
58,0,1,0,0,1,0,0
59,0,1,0,0,1,0,0
60,0,0,1,0,0,1,0
63,0,0,1,1,0,0,0
64,0,0,1,1,0,0,0
65,0,0,1,0,1,1,0
66,1,0,0,0,1,0,0
67,0,1,1,0,1,1,0
70,0,0,1,1,0,0,0
71,0,0,1,0,1,1,0
72,0,0,1,1,0,0,0
73,0,0,1,0,0,0,1
74,0,0,1,1,0,0,0
75,1,1,1,0,1,0,0
76,0,0,1,0,1,0,0
77,1,0,0,0,1,1,0
78,1,0,1,0,1,1,0
79,1,1,1,0,1,1,0
80,0,0,1,0,1,0,0
81,0,0,1,0,1,0,0
82,0,0,1,1,0,0,0
83,0,1,0,0,0,0,1
84,0,1,0,0,1,0,0
85,0,0,1,1,0,0,0
88,0,0,1,0,1,1,0
89,0,0,1,0,1,0,0
91,0,0,1,1,0,0,0
92,1,1,1,0,1,1,0
93,1,0,0,0,0,0,1
95,0,0,1,0,0,1,1
96,0,0,1,1,0,0,0
97,0,1,0,0,1,0,0
98,0,0,1,1,0,0,0
99,0,0,1,1,0,0,0
100,0,0,1,1,0,0,0
101,0,0,1,1,0,0,0
102,0,0,1,1,0,0,0
103,1,1,1,0,0,0,1
106,0,0,1,1,0,0,0
108,0,0,1,1,0,0,0
109,0,0,1,1,0,0,0
110,0,0,1,1,0,0,0
111,0,0,1,1,0,0,0
112,0,0,1,1,0,0,0
113,0,0,1,1,0,0,0
114,0,0,1,1,0,0,0
115,0,0,1,1,0,0,0
116,0,0,1,1,0,0,0
117,0,0,1,1,0,0,0
118,0,0,1,0,1,0,0
120,0,1,1,1,0,0,0
121,0,0,1,0,0,0,1
122,0,0,1,0,1,0,0
123,0,0,1,1,0,0,0
124,0,0,1,1,0,0,0
